unified_customer_id,telco_customer_id,action_status,churn_label,predicted_churn_probability,predicted_churn_label,churn_risk_segment,retention_priority,customer_value_segment,monthly_charges,estimated_customer_lifetime_value,monthly_revenue_at_risk,primary_recommendation,secondary_recommendation,recommendation_reason,risk_driver_summary,expected_save_rate,estimated_action_cost,estimated_gross_mrr_saved,estimated_net_mrr_impact,annualized_net_revenue_impact,tenure,tenure_segment,contract,payment_method,payment_risk_score,inactivity_days,activity_status,engagement_score,customer_health_score,support_ticket_count,open_ticket_count,critical_ticket_count,low_satisfaction_ticket_count,complaint_frequency,support_burden_score,avg_satisfaction_rating,prediction_scope,best_model_name,total_charges_imputed,avg_monthly_spend,estimated_customer_lifetime_value_feature,customer_health_score_feature,expected_monthly_revenue_loss,expected_annual_revenue_loss,expected_clv_at_risk,revenue_recovery_potential,net_recovery_potential,annualized_recovery_potential
CUST0004282,6030-REHUX,active_retention,0,0.8065593072206109,1,high risk,P1 high,established_value,110.85,3103.8,89.41,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, valuable customer",0.3,0.0,29.51,29.51,354.12,28,25_48_months,month_to_month,electronic_check,1.0,78.0,active_31_90_days,0.4032,0.3909,3.0,2.0,0.0,0.0,0.3333333333333333,0.315,4.0,full_model_scoring,logistic_regression,3204.4,114.44285714285716,3103.8,0.3909,89.41,1072.92,2503.4,29.51,29.51,354.12
CUST0001897,2754-SDJRD,active_retention,0,0.890150270901454,1,high risk,P1 high,emerging_value,100.15,801.2,89.15,onboarding assistance,product adoption coaching,Early lifecycle or low health customers need help realizing product value.,"low engagement, early tenure",0.22,10.0,18.63,8.63,103.56,8,7_12_months,month_to_month,credit_card_automatic,0.55,234.0,inactive_90_plus_days,0.3081,0.4655,1.0,0.0,0.0,0.0,0.0,0.0576,3.0,full_model_scoring,logistic_regression,908.55,113.56875,801.2,0.4655,89.15,1069.8,713.19,18.63,8.63,103.56
CUST0002901,4132-KALRO,active_retention,0,0.8764163586835183,1,high risk,P1 high,emerging_value,100.85,403.4,88.39,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, early tenure",0.3,0.0,25.19,25.19,302.28,4,0_6_months,month_to_month,mailed_check,0.55,39.0,active_31_90_days,0.4292,0.4076,1.0,1.0,1.0,0.0,0.0,0.4498,3.0,holdout_prediction_output,logistic_regression,399.25,99.8125,403.4,0.4076,88.39,1060.68,353.55,25.19,25.19,302.28
CUST0005906,8313-NDOIA,active_retention,0,0.8459258230320066,1,high risk,P1 high,established_value,104.15,2499.6000000000004,88.1,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, valuable customer",0.3,0.0,29.07,29.07,348.84,24,13_24_months,month_to_month,electronic_check,1.0,86.0,active_31_90_days,0.413,0.4028,1.0,1.0,0.0,0.0,0.0,0.2498,3.0,holdout_prediction_output,logistic_regression,2494.65,103.94375,2499.6000000000004,0.4028,88.1,1057.2,2114.48,29.07,29.07,348.84
CUST0005238,7379-FNIUJ,active_retention,0,0.8781133878384034,1,high risk,P1 high,low_value,100.2,200.4,87.99,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, early tenure",0.3,0.0,21.12,21.12,253.44,2,0_6_months,month_to_month,electronic_check,0.8,559.0,inactive_90_plus_days,0.11,0.2624,2.0,1.0,1.0,0.0,0.5,0.3031,5.0,full_model_scoring,logistic_regression,198.5,99.25,200.4,0.2624,87.99,1055.88,175.97,21.12,21.12,253.44
CUST0001430,2107-FBPTK,active_retention,0,0.8403272868608765,1,high risk,P1 high,established_value,104.1,3123.0,87.48,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"low engagement, payment risk, valuable customer",0.24,15.614999999999998,23.09,7.48,89.76,30,25_48_months,month_to_month,electronic_check,1.0,377.0,inactive_90_plus_days,0.2219,0.4013,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression,3121.1,104.03666666666666,3123.0,0.4013,87.48,1049.76,2624.34,23.09,7.48,89.76
CUST0003482,4929-XIHVW,active_retention,0,0.9129390574364556,1,high risk,P1 high,low_value,95.5,191.0,87.19,onboarding assistance,product adoption coaching,Early lifecycle or low health customers need help realizing product value.,early tenure,0.22,10.0,15.35,5.35,64.2,2,0_6_months,month_to_month,credit_card_automatic,0.55,72.0,active_31_90_days,0.4377,0.5192,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression,181.65,90.825,191.0,0.5192,87.19,1046.28,174.37,15.35,5.35,64.2
CUST0000296,0434-CSFON,active_retention,0,0.8634063731692363,1,high risk,P0 critical,high_value,100.5,4723.5,86.77,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"low engagement, payment risk, valuable customer",0.24,15.075,27.07,12.0,144.0,47,25_48_months,month_to_month,electronic_check,1.0,114.0,inactive_90_plus_days,0.3806,0.5002,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression,4707.1,100.15106382978723,4723.5,0.5002,86.77,1041.24,4078.3,27.07,12.0,144.0
CUST0001309,1941-HOSAM,active_retention,0,0.9618551003733906,1,high risk,P1 high,low_value,90.1,90.1,86.66,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, early tenure",0.3,0.0,20.8,20.8,249.6,1,0_6_months,month_to_month,electronic_check,1.0,42.0,active_31_90_days,0.4348,0.3072,4.0,3.0,1.0,1.0,0.75,0.4752,1.0,full_model_scoring,logistic_regression,90.1,90.1,90.1,0.3072,86.66,1039.92,86.66,20.8,20.8,249.6
CUST0004212,5947-SGKCL,active_retention,0,0.8161086422199266,1,high risk,P1 high,established_value,105.35,1580.25,85.98,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, valuable customer",0.3,0.0,28.37,28.37,340.44,15,13_24_months,month_to_month,bank_transfer_automatic,0.55,23.0,active_0_30_days,0.4381,0.4949,1.0,0.0,0.0,1.0,1.0,0.2064,2.0,holdout_prediction_output,logistic_regression,1559.25,103.95,1580.25,0.4949,85.98,1031.76,1289.66,28.37,28.37,340.44
CUST0005368,7577-SWIFR,active_retention,0,0.9631312976843802,1,high risk,P1 high,low_value,89.25,89.25,85.96,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, early tenure",0.3,0.0,20.63,20.63,247.56,1,0_6_months,month_to_month,electronic_check,1.0,381.0,inactive_90_plus_days,0.2202,0.2828,2.0,1.0,0.0,0.0,0.5,0.2296,4.0,full_model_scoring,logistic_regression,89.25,89.25,89.25,0.2828,85.96,1031.52,85.96,20.63,20.63,247.56
CUST0004319,6088-BXMRG,active_retention,0,0.8680914498171652,1,high risk,P1 high,established_value,98.85,3163.2,85.81,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, valuable customer",0.3,0.0,28.32,28.32,339.84,32,25_48_months,month_to_month,electronic_check,1.0,568.0,inactive_90_plus_days,0.1037,0.2957,1.0,1.0,0.0,0.0,1.0,0.2498,3.0,holdout_prediction_output,logistic_regression,3089.6,96.55,3163.2,0.2957,85.81,1029.72,2745.95,28.32,28.32,339.84
CUST0002981,4273-MBHYA,active_retention,0,0.9592112734761288,1,high risk,P1 high,low_value,89.35,89.35,85.71,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, early tenure",0.3,0.0,20.57,20.57,246.84,1,0_6_months,month_to_month,electronic_check,1.0,333.0,inactive_90_plus_days,0.2544,0.2768,2.0,1.0,0.0,1.0,0.5,0.3082,2.0,full_model_scoring,logistic_regression,89.35,89.35,89.35,0.2768,85.71,1028.52,85.71,20.57,20.57,246.84
CUST0006423,9094-AZPHK,active_retention,0,0.8525789438561003,1,high risk,P1 high,established_value,100.15,1502.25,85.39,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"payment risk, valuable customer",0.24,15.0225,22.54,7.52,90.24,15,13_24_months,month_to_month,electronic_check,1.0,1.0,active_0_30_days,0.4515,0.4618,0.0,0.0,0.0,0.0,0.0,0.0,3.0,holdout_prediction_output,logistic_regression,1415.0,94.33333333333331,1502.25,0.4618,85.39,1024.68,1280.79,22.54,7.52,90.24
CUST0005797,8161-QYMTT,active_retention,0,0.9068339338975684,1,high risk,P1 high,emerging_value,94.1,658.6999999999999,85.33,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, early tenure",0.3,0.0,24.32,24.32,291.84,7,7_12_months,month_to_month,electronic_check,1.0,150.0,inactive_90_plus_days,0.3635,0.3475,1.0,1.0,0.0,0.0,1.0,0.2498,3.0,full_model_scoring,logistic_regression,701.3,100.18571428571428,658.6999999999999,0.3475,85.33,1023.96,597.33,24.32,24.32,291.84
CUST0004204,5935-FCCNB,active_retention,0,0.904885868540764,1,high risk,P1 high,established_value,94.2,1601.4,85.24,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"payment risk, valuable customer",0.24,14.13,22.5,8.37,100.44,17,13_24_months,month_to_month,electronic_check,1.0,9.0,active_0_30_days,0.4744,0.4752,0.0,0.0,0.0,0.0,0.0,0.0,3.0,holdout_prediction_output,logistic_regression,1608.15,94.59705882352942,1601.4,0.4752,85.24,1022.88,1449.08,22.5,8.37,100.44
CUST0006585,9360-OMDZZ,active_retention,0,0.9056912291624268,1,high risk,P1 high,established_value,94.1,2258.4,85.23,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"low engagement, payment risk, valuable customer",0.24,14.114999999999998,22.5,8.39,100.68,24,13_24_months,month_to_month,electronic_check,1.0,389.0,inactive_90_plus_days,0.2128,0.3851,0.0,0.0,0.0,0.0,0.0,0.0,3.0,holdout_prediction_output,logistic_regression,2322.85,96.78541666666666,2258.4,0.3851,85.23,1022.76,2045.41,22.5,8.39,100.68
CUST0002321,3318-NMQXL,active_retention,0,0.9259661389333742,1,high risk,P1 high,low_value,92.0,276.0,85.19,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"payment risk, early tenure",0.24,13.8,16.36,2.56,30.72,3,0_6_months,month_to_month,electronic_check,1.0,23.0,active_0_30_days,0.436,0.4306,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression,266.8,88.93333333333334,276.0,0.4306,85.19,1022.28,255.57,16.36,2.56,30.72
CUST0000526,0771-WLCLA,active_retention,0,0.7537493297196486,1,high risk,P1 high,established_value,112.95,1807.2,85.14,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, valuable customer",0.3,0.0,28.1,28.1,337.2,16,13_24_months,month_to_month,electronic_check,1.0,83.0,active_31_90_days,0.401,0.3667,2.0,2.0,0.0,0.0,1.0,0.3081,3.0,full_model_scoring,logistic_regression,1882.55,115.02070422535212,1807.2,0.3667,85.14,1021.68,1362.18,28.1,28.1,337.2
CUST0003003,4298-OYIFC,active_retention,0,0.8226400071579726,1,high risk,P1 high,established_value,103.45,1551.75,85.1,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"payment risk, valuable customer",0.24,15.5175,22.47,6.95,83.4,15,13_24_months,month_to_month,electronic_check,1.0,71.0,active_31_90_days,0.4081,0.4445,0.0,0.0,0.0,0.0,0.0,0.0,3.0,holdout_prediction_output,logistic_regression,1539.8,102.65333333333334,1551.75,0.4445,85.1,1021.2,1276.53,22.47,6.95,83.4
CUST0003479,4927-WWOOZ,active_retention,0,0.9300667015001194,1,high risk,P1 high,low_value,91.45,182.9,85.05,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, early tenure",0.3,0.0,20.41,20.41,244.92,2,0_6_months,month_to_month,electronic_check,1.0,63.0,active_31_90_days,0.414,0.3494,3.0,2.0,0.0,0.0,1.0,0.2813,4.0,full_model_scoring,logistic_regression,171.45,85.725,182.9,0.3494,85.05,1020.6,170.11,20.41,20.41,244.92
CUST0004715,6645-MXQJT,active_retention,0,0.8755334757234777,1,high risk,P1 high,low_value,97.1,194.2,85.01,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"low engagement, payment risk, early tenure",0.24,14.564999999999998,16.32,1.76,21.12,2,0_6_months,month_to_month,electronic_check,0.8,256.0,inactive_90_plus_days,0.2946,0.412,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression,184.15,92.075,194.2,0.412,85.01,1020.12,170.03,16.32,1.76,21.12
CUST0004355,6137-NICCO,active_retention,0,0.901951669912998,1,high risk,P1 high,emerging_value,94.05,564.3,84.83,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, early tenure",0.3,0.0,24.18,24.18,290.16,6,0_6_months,month_to_month,mailed_check,0.55,8.0,active_0_30_days,0.4703,0.4696,2.0,1.0,0.0,1.0,1.0,0.2839,1.0,full_model_scoring,logistic_regression,518.75,86.45833333333333,564.3,0.4696,84.83,1017.96,508.97,24.18,24.18,290.16
CUST0006985,9912-OMZDS,active_retention,0,0.7991607378537614,1,high risk,P0 critical,high_value,106.15,6262.85,84.83,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"payment risk, valuable customer",0.24,15.9225,26.47,10.55,126.6,59,49_plus_months,one_year,electronic_check,0.65,63.0,active_31_90_days,0.414,0.6085,0.0,0.0,0.0,0.0,0.0,0.0,3.0,holdout_prediction_output,logistic_regression,6256.2,106.03728813559322,6262.85,0.6085,84.83,1017.96,5005.02,26.47,10.55,126.6
CUST0002075,2984-AFWNC,active_retention,0,0.8869117165946753,1,high risk,P1 high,low_value,95.4,286.20000000000005,84.61,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, early tenure",0.3,0.0,20.31,20.31,243.72,3,0_6_months,month_to_month,electronic_check,0.8,84.0,active_31_90_days,0.4042,0.3559,2.0,2.0,1.0,0.0,1.0,0.4081,3.0,holdout_prediction_output,logistic_regression,293.15,97.71666666666664,286.20000000000005,0.3559,84.61,1015.32,253.83,20.31,20.31,243.72
CUST0000491,0722-SVSFK,active_retention,0,0.8399017221973315,1,high risk,P1 high,emerging_value,100.4,702.8000000000001,84.33,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, early tenure",0.3,0.0,24.03,24.03,288.36,7,7_12_months,month_to_month,electronic_check,1.0,58.0,active_31_90_days,0.4286,0.3236,1.0,1.0,1.0,0.0,1.0,0.4498,3.0,full_model_scoring,logistic_regression,715.0,102.14285714285714,702.8000000000001,0.3236,84.33,1011.96,590.28,24.03,24.03,288.36
CUST0006723,9547-ITEFG,active_retention,0,0.8211990690865225,1,high risk,P1 high,emerging_value,102.6,923.4,84.26,onboarding assistance,product adoption coaching,Early lifecycle or low health customers need help realizing product value.,"low engagement, early tenure",0.22,10.0,17.61,7.61,91.32,9,7_12_months,month_to_month,credit_card_automatic,0.55,0.0,no_activity,0.0,0.3587,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression,897.75,99.75,923.4,0.3587,84.26,1011.12,758.3,17.61,7.61,91.32
CUST0001828,2665-NPTGL,active_retention,0,0.8583264259260522,1,high risk,P1 high,established_value,98.1,2550.6,84.2,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.",valuable customer,0.3,0.0,27.79,27.79,333.48,26,25_48_months,month_to_month,bank_transfer_automatic,0.55,10.0,active_0_30_days,0.4496,0.5207,1.0,0.0,1.0,0.0,0.0,0.2131,3.0,full_model_scoring,logistic_regression,2510.7,96.5653846153846,2550.6,0.5207,84.2,1010.4,2189.25,27.79,27.79,333.48
CUST0000698,1028-FFNJK,active_retention,0,0.8274406888760253,1,high risk,P1 high,established_value,101.5,3045.0,83.99,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, valuable customer",0.3,0.0,27.72,27.72,332.64,30,25_48_months,month_to_month,electronic_check,1.0,97.0,inactive_90_plus_days,0.3953,0.425,1.0,0.0,0.0,1.0,1.0,0.1824,1.0,full_model_scoring,logistic_regression,2917.65,97.255,3045.0,0.425,83.99,1007.88,2519.56,27.72,27.72,332.64
CUST0002413,3452-GWUIN,active_retention,0,0.8841700503934579,1,high risk,P1 high,established_value,94.95,1804.05,83.95,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"low engagement, payment risk, valuable customer",0.24,14.2425,22.16,7.92,95.04,19,13_24_months,month_to_month,electronic_check,1.0,144.0,inactive_90_plus_days,0.3707,0.4379,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression,1760.25,92.64473684210526,1804.05,0.4379,83.95,1007.4,1595.09,22.16,7.92,95.04
CUST0004862,6851-WEFYX,active_retention,0,0.8317094848208281,1,high risk,P1 high,established_value,100.8,3528.0,83.84,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, valuable customer",0.3,0.0,27.67,27.67,332.04,35,25_48_months,month_to_month,electronic_check,1.0,350.0,inactive_90_plus_days,0.2374,0.4063,1.0,0.0,0.0,0.0,1.0,0.0463,4.0,full_model_scoring,logistic_regression,3437.5,98.21428571428572,3528.0,0.4063,83.84,1006.08,2934.27,27.67,27.67,332.04
CUST0005132,7225-CBZPL,active_retention,0,0.8840062217936691,1,high risk,P1 high,established_value,94.8,1611.6,83.8,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, valuable customer",0.3,0.0,27.65,27.65,331.8,17,13_24_months,month_to_month,electronic_check,1.0,363.0,inactive_90_plus_days,0.2325,0.316,1.0,1.0,0.0,0.0,1.0,0.2498,3.0,full_model_scoring,logistic_regression,1563.9,91.99411764705884,1611.6,0.316,83.8,1005.6,1424.66,27.65,27.65,331.8
CUST0001125,1641-RQDAY,active_retention,0,0.8340348520780675,1,high risk,P1 high,established_value,100.4,3212.8,83.74,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, valuable customer",0.3,0.0,27.63,27.63,331.56,32,25_48_months,month_to_month,electronic_check,1.0,57.0,active_31_90_days,0.418,0.4214,1.0,1.0,0.0,0.0,1.0,0.2498,3.0,full_model_scoring,logistic_regression,3217.65,100.5515625,3212.8,0.4214,83.74,1004.88,2679.59,27.63,27.63,331.56
CUST0000092,0147-ESWWR,active_retention,0,0.8260479477031462,1,high risk,P0 critical,high_value,101.25,3948.75,83.64,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, valuable customer",0.3,0.0,32.62,32.62,391.44,39,25_48_months,month_to_month,electronic_check,1.0,1.0,active_0_30_days,0.486,0.4632,1.0,1.0,0.0,0.0,1.0,0.2498,3.0,full_model_scoring,logistic_regression,3949.15,101.26025641025642,3948.75,0.4632,83.64,1003.68,3261.86,32.62,32.62,391.44
CUST0002846,4060-LDNLU,active_retention,0,0.8617937872038003,1,high risk,P1 high,emerging_value,96.2,673.4,82.9,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, early tenure",0.3,0.0,23.63,23.63,283.56,7,7_12_months,month_to_month,electronic_check,0.8,22.0,active_0_30_days,0.4414,0.4187,1.0,1.0,0.0,0.0,0.0,0.2498,3.0,holdout_prediction_output,logistic_regression,639.7,91.38571428571429,673.4,0.4187,82.9,994.8,580.33,23.63,23.63,283.56
CUST0000625,0916-QOFDP,active_retention,0,0.861659717576809,1,high risk,P1 high,emerging_value,95.8,1341.2,82.55,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,payment risk,0.24,14.37,18.82,4.45,53.4,14,13_24_months,month_to_month,electronic_check,1.0,6.0,active_0_30_days,0.4552,0.4612,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression,1346.3,96.16428571428573,1341.2,0.4612,82.55,990.6,1155.66,18.82,4.45,53.4
