unified_customer_id,telco_customer_id,action_status,churn_label,predicted_churn_probability,predicted_churn_label,churn_risk_segment,retention_priority,customer_value_segment,monthly_charges,estimated_customer_lifetime_value,monthly_revenue_at_risk,primary_recommendation,secondary_recommendation,recommendation_reason,risk_driver_summary,expected_save_rate,estimated_action_cost,estimated_gross_mrr_saved,estimated_net_mrr_impact,annualized_net_revenue_impact,tenure,tenure_segment,contract,payment_method,payment_risk_score,inactivity_days,activity_status,engagement_score,customer_health_score,support_ticket_count,open_ticket_count,critical_ticket_count,low_satisfaction_ticket_count,complaint_frequency,support_burden_score,avg_satisfaction_rating,prediction_scope,best_model_name
CUST0006419,9090-SGQXL,winback_review,1,0.7975539369896429,1,high risk,P0 critical,high_value,105.3,7160.4,83.98,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, valuable customer",0.3,0.0,32.75,32.75,393.0,68,49_plus_months,month_to_month,electronic_check,1.0,364.0,inactive_90_plus_days,0.228,0.4204,1.0,1.0,0.0,0.0,1.0,0.2498,3.0,full_model_scoring,logistic_regression
CUST0001674,2439-LYPMQ,active_retention,0,0.7951691512084516,1,high risk,P0 critical,high_value,102.6,3898.8,81.58,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"payment risk, valuable customer",0.24,15.389999999999999,25.45,10.06,120.72,38,25_48_months,month_to_month,electronic_check,1.0,46.0,active_31_90_days,0.4273,0.4928,1.0,0.0,0.0,0.0,0.0,0.0293,3.0,full_model_scoring,logistic_regression
CUST0004949,6968-GMKPR,active_retention,0,0.787324111718725,1,high risk,P0 critical,high_value,81.55,4485.25,64.21,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, valuable customer",0.3,0.0,25.04,25.04,300.48,55,49_plus_months,month_to_month,electronic_check,1.0,588.0,inactive_90_plus_days,0.0939,0.3397,1.0,1.0,0.0,0.0,1.0,0.2498,3.0,full_model_scoring,logistic_regression
CUST0005612,7901-TBKJX,active_retention,0,0.786784448732347,1,high risk,P0 critical,high_value,101.05,5658.8,79.5,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, valuable customer",0.3,0.0,31.0,31.0,372.0,56,49_plus_months,month_to_month,electronic_check,1.0,65.0,active_31_90_days,0.4111,0.4687,1.0,1.0,0.0,0.0,1.0,0.2498,3.0,full_model_scoring,logistic_regression
CUST0001966,2845-AFFTX,winback_review,1,0.7862354406995512,1,high risk,P0 critical,high_value,99.8,4091.8,78.47,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"low engagement, payment risk, valuable customer",0.24,14.969999999999999,24.48,9.51,114.12,41,25_48_months,month_to_month,electronic_check,1.0,224.0,inactive_90_plus_days,0.3149,0.4614,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression
CUST0001175,1728-CXQBE,active_retention,0,0.7823095470450129,1,high risk,P0 critical,high_value,94.25,6032.0,73.73,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, valuable customer",0.3,0.0,28.75,28.75,345.0,64,49_plus_months,month_to_month,electronic_check,1.0,58.0,active_31_90_days,0.4265,0.4769,2.0,2.0,0.0,0.0,1.0,0.3081,3.0,holdout_prediction_output,logistic_regression
CUST0005687,8012-SOUDQ,active_retention,0,0.7755132172689965,1,high risk,P0 critical,high_value,90.25,3880.75,69.99,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, valuable customer",0.3,0.0,27.3,27.3,327.6,43,25_48_months,month_to_month,electronic_check,1.0,333.0,inactive_90_plus_days,0.247,0.3759,1.0,1.0,0.0,0.0,1.0,0.2498,3.0,full_model_scoring,logistic_regression
CUST0001189,1751-NCDLI,active_retention,0,0.7727690014734838,1,high risk,P0 critical,high_value,98.85,4547.099999999999,76.39,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"payment risk, valuable customer",0.24,14.827499999999999,23.83,9.0,108.0,46,25_48_months,month_to_month,electronic_check,1.0,1.0,active_0_30_days,0.4924,0.5428,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression
CUST0003946,5553-AOINX,active_retention,0,0.7725815465775921,1,high risk,P0 critical,high_value,104.9,6923.400000000001,81.04,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, valuable customer",0.3,0.0,31.61,31.61,379.32,66,49_plus_months,one_year,electronic_check,0.65,216.0,inactive_90_plus_days,0.319,0.5227,1.0,1.0,0.0,0.0,1.0,0.2498,3.0,full_model_scoring,logistic_regression
CUST0001681,2452-KDRRH,active_retention,0,0.7712942118806341,1,high risk,P0 critical,high_value,101.4,6793.8,78.21,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, valuable customer",0.3,0.0,30.5,30.5,366.0,67,49_plus_months,month_to_month,credit_card_automatic,0.55,137.0,inactive_90_plus_days,0.3691,0.575,1.0,0.0,1.0,0.0,1.0,0.2088,3.0,full_model_scoring,logistic_regression
CUST0005506,7752-XUSCI,winback_review,1,0.7707120620575012,1,high risk,P0 critical,high_value,105.9,6354.0,81.62,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, valuable customer",0.3,0.0,31.83,31.83,381.96,60,49_plus_months,month_to_month,electronic_check,1.0,274.0,inactive_90_plus_days,0.2883,0.427,2.0,1.0,0.0,0.0,1.0,0.2531,3.0,full_model_scoring,logistic_regression
CUST0005297,7480-QNVZJ,winback_review,1,0.7684805345561639,1,high risk,P0 critical,high_value,95.7,4785.0,73.54,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"low engagement, payment risk, valuable customer",0.24,14.355,22.94,8.59,103.08,50,49_plus_months,month_to_month,electronic_check,1.0,119.0,inactive_90_plus_days,0.3808,0.5065,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression
CUST0003095,4433-JCGCG,winback_review,1,0.7653828318300491,1,high risk,P0 critical,high_value,101.0,4646.0,77.3,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, valuable customer",0.3,0.0,30.15,30.15,361.8,46,25_48_months,month_to_month,electronic_check,1.0,54.0,active_31_90_days,0.4186,0.4671,2.0,1.0,0.0,0.0,1.0,0.1846,5.0,full_model_scoring,logistic_regression
CUST0006838,9710-ZUSHQ,winback_review,1,0.7648879238856742,1,high risk,P0 critical,high_value,106.75,3949.75,81.65,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, valuable customer",0.3,0.0,31.84,31.84,382.08,37,25_48_months,month_to_month,bank_transfer_automatic,0.55,1.0,active_0_30_days,0.4501,0.498,1.0,0.0,1.0,1.0,1.0,0.3966,1.0,full_model_scoring,logistic_regression
CUST0002778,3951-NJCVI,active_retention,0,0.763746044536866,1,high risk,P0 critical,high_value,95.05,3992.1,72.59,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, valuable customer",0.3,0.0,28.31,28.31,339.72,42,25_48_months,month_to_month,electronic_check,1.0,6.0,active_0_30_days,0.4534,0.4418,2.0,2.0,0.0,0.0,1.0,0.3081,3.0,holdout_prediction_output,logistic_regression
CUST0000110,0193-ESZXP,winback_review,1,0.7633660364625766,1,high risk,P0 critical,high_value,105.5,6119.0,80.54,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, valuable customer",0.3,0.0,31.41,31.41,376.92,58,49_plus_months,one_year,credit_card_automatic,0.2,72.0,active_31_90_days,0.4143,0.5841,1.0,1.0,1.0,0.0,1.0,0.4498,3.0,holdout_prediction_output,logistic_regression
CUST0006075,8610-WFCJF,winback_review,1,0.7627101443481538,1,high risk,P0 critical,high_value,95.6,4684.4,72.92,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, valuable customer",0.3,0.0,28.44,28.44,341.28,49,49_plus_months,month_to_month,electronic_check,1.0,175.0,inactive_90_plus_days,0.344,0.4423,2.0,0.0,0.0,1.0,1.0,0.1897,2.5,full_model_scoring,logistic_regression
CUST0003815,5364-XYIRR,winback_review,1,0.7614557190579572,1,high risk,P0 critical,high_value,94.65,4827.150000000001,72.07,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, valuable customer",0.3,0.0,28.11,28.11,337.32,51,49_plus_months,month_to_month,electronic_check,1.0,4.0,active_0_30_days,0.4514,0.4741,1.0,0.0,1.0,0.0,1.0,0.2509,4.0,full_model_scoring,logistic_regression
CUST0003835,5385-SUIRI,winback_review,1,0.7612469083243092,1,high risk,P0 critical,high_value,104.2,5418.400000000001,79.32,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"low engagement, payment risk, valuable customer",0.24,15.629999999999999,24.75,9.12,109.44,52,49_plus_months,month_to_month,electronic_check,1.0,99.0,inactive_90_plus_days,0.4071,0.5212,0.0,0.0,0.0,0.0,0.0,0.0,3.0,holdout_prediction_output,logistic_regression
CUST0000685,1013-QCWAM,active_retention,0,0.7582520171778568,1,high risk,P0 critical,high_value,100.8,6652.8,76.43,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, valuable customer",0.3,0.0,29.81,29.81,357.72,66,49_plus_months,month_to_month,electronic_check,1.0,10.0,active_0_30_days,0.4449,0.5462,1.0,0.0,0.0,0.0,1.0,0.0769,5.0,full_model_scoring,logistic_regression
CUST0003792,5331-RGMTT,active_retention,0,0.7551789235124767,1,high risk,P0 critical,high_value,99.05,5348.7,74.8,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, valuable customer",0.3,0.0,29.17,29.17,350.04,54,49_plus_months,month_to_month,credit_card_automatic,0.55,262.0,inactive_90_plus_days,0.2911,0.5591,1.0,0.0,0.0,0.0,1.0,0.0392,3.0,full_model_scoring,logistic_regression
CUST0006147,8708-XPXHZ,winback_review,1,0.7543740978713246,1,high risk,P0 critical,high_value,94.2,3956.4,71.06,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"low engagement, payment risk, valuable customer",0.24,14.13,22.17,8.04,96.48,42,25_48_months,month_to_month,electronic_check,1.0,652.0,inactive_90_plus_days,0.0531,0.3587,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression
CUST0005332,7529-ZDFXI,active_retention,0,0.7533204269401907,1,high risk,P0 critical,high_value,89.85,5121.45,67.69,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"payment risk, valuable customer",0.24,13.4775,21.12,7.64,91.68,57,49_plus_months,month_to_month,electronic_check,1.0,1.0,active_0_30_days,0.5232,0.578,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression
CUST0004718,6646-VRFOL,winback_review,1,0.7526722921301708,1,high risk,P0 critical,high_value,103.85,5504.049999999999,78.17,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"payment risk, valuable customer",0.24,15.577499999999999,24.39,8.81,105.72,53,49_plus_months,month_to_month,electronic_check,1.0,1.0,active_0_30_days,0.4671,0.5473,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression
CUST0000647,0946-CLJTI,winback_review,1,0.7524876248864217,1,high risk,P0 critical,high_value,98.7,5724.6,74.27,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"low engagement, payment risk, valuable customer",0.24,14.805,23.17,8.37,100.44,58,49_plus_months,month_to_month,electronic_check,1.0,609.0,inactive_90_plus_days,0.0811,0.4033,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression
CUST0000870,1264-BYWMS,winback_review,1,0.751524259314794,1,high risk,P0 critical,high_value,96.8,5324.0,72.75,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, valuable customer",0.3,0.0,28.37,28.37,340.44,55,49_plus_months,month_to_month,electronic_check,1.0,98.0,inactive_90_plus_days,0.391,0.4085,1.0,1.0,1.0,0.0,1.0,0.4498,3.0,holdout_prediction_output,logistic_regression
CUST0005947,8384-FZBJK,active_retention,0,0.7491178566871339,1,high risk,P0 critical,high_value,100.6,5734.2,75.36,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, valuable customer",0.3,0.0,29.39,29.39,352.68,57,49_plus_months,month_to_month,electronic_check,1.0,729.0,inactive_90_plus_days,0.0055,0.2939,2.0,2.0,0.0,0.0,1.0,0.3081,3.0,full_model_scoring,logistic_regression
CUST0006949,9851-QXEEQ,winback_review,1,0.747557335876708,1,high risk,P0 critical,high_value,104.7,4292.7,78.27,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"low engagement, payment risk, valuable customer",0.24,15.705,24.42,8.72,104.64,41,25_48_months,month_to_month,electronic_check,1.0,626.0,inactive_90_plus_days,0.0695,0.3632,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression
CUST0001697,2474-BRUCM,winback_review,1,0.747348732536886,1,high risk,P0 critical,high_value,101.85,4074.0,76.12,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"low engagement, payment risk, valuable customer",0.24,15.277499999999998,23.75,8.47,101.64,40,25_48_months,month_to_month,electronic_check,0.8,724.0,inactive_90_plus_days,0.0087,0.3768,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression
CUST0001410,2080-CAZNM,active_retention,0,0.7468783005003684,1,high risk,P0 critical,high_value,104.4,4280.400000000001,77.97,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"payment risk, valuable customer",0.24,15.66,24.33,8.67,104.04,41,25_48_months,month_to_month,electronic_check,1.0,3.0,active_0_30_days,0.457,0.5182,0.0,0.0,0.0,0.0,0.0,0.0,3.0,holdout_prediction_output,logistic_regression
CUST0006535,9278-VZKCD,active_retention,0,0.7464887592251411,1,high risk,P0 critical,high_value,109.1,5673.2,81.44,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, valuable customer",0.3,0.0,31.76,31.76,381.12,52,49_plus_months,month_to_month,electronic_check,1.0,0.0,no_activity,0.0,0.2813,2.0,2.0,0.0,0.0,1.0,0.3081,3.0,full_model_scoring,logistic_regression
CUST0005178,7279-BUYWN,winback_review,1,0.7451737103455034,1,high risk,P0 critical,high_value,113.2,4641.2,84.35,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, valuable customer",0.3,0.0,32.9,32.9,394.8,41,25_48_months,month_to_month,electronic_check,1.0,10.0,active_0_30_days,0.4476,0.452,1.0,1.0,0.0,0.0,1.0,0.2498,3.0,full_model_scoring,logistic_regression
CUST0000285,0420-HLGXF,active_retention,0,0.7448380841479652,1,high risk,P0 critical,high_value,99.75,3890.25,74.3,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, valuable customer",0.3,0.0,28.98,28.98,347.76,39,25_48_months,month_to_month,electronic_check,1.0,9.0,active_0_30_days,0.4456,0.4666,1.0,0.0,0.0,1.0,1.0,0.1716,2.0,full_model_scoring,logistic_regression
CUST0000222,0337-CNPZE,winback_review,1,0.7416150584304403,1,high risk,P0 critical,high_value,106.3,4358.3,78.83,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, valuable customer",0.3,0.0,30.74,30.74,368.88,41,25_48_months,month_to_month,electronic_check,1.0,22.0,active_0_30_days,0.4546,0.4241,4.0,2.0,0.0,1.0,1.0,0.3725,2.5,full_model_scoring,logistic_regression
CUST0004002,5647-FXOTP,active_retention,0,0.7396796531012904,1,high risk,P0 critical,high_value,105.9,6354.0,78.33,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"payment risk, valuable customer",0.24,15.885,24.44,8.56,102.72,60,49_plus_months,month_to_month,electronic_check,1.0,10.0,active_0_30_days,0.454,0.5566,0.0,0.0,0.0,0.0,0.0,0.0,3.0,holdout_prediction_output,logistic_regression
CUST0005124,7207-RMRDB,winback_review,1,0.7389639526666129,1,high risk,P0 critical,high_value,105.5,6857.5,77.96,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, valuable customer",0.3,0.0,30.4,30.4,364.8,65,49_plus_months,month_to_month,electronic_check,1.0,15.0,active_0_30_days,0.457,0.5259,2.0,0.0,0.0,1.0,1.0,0.1691,2.0,holdout_prediction_output,logistic_regression
CUST0000080,0129-KPTWJ,active_retention,0,0.7389492403332221,1,high risk,P0 critical,high_value,94.65,6814.8,69.94,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"payment risk, valuable customer",0.24,14.1975,21.82,7.62,91.44,72,49_plus_months,month_to_month,electronic_check,1.0,77.0,active_31_90_days,0.4064,0.5626,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression
CUST0000702,1035-IPQPU,active_retention,0,0.7377298750454373,1,high risk,P0 critical,high_value,103.5,6520.5,76.36,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, valuable customer",0.3,0.0,29.78,29.78,357.36,63,49_plus_months,month_to_month,electronic_check,1.0,31.0,active_31_90_days,0.4621,0.5077,1.0,0.0,0.0,1.0,1.0,0.2335,2.0,holdout_prediction_output,logistic_regression
CUST0006236,8818-DOPVL,active_retention,0,0.7375607941231604,1,high risk,P0 critical,high_value,104.45,4804.7,77.04,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, valuable customer",0.3,0.0,30.05,30.05,360.6,46,25_48_months,month_to_month,electronic_check,1.0,0.0,no_activity,0.0,0.2849,2.0,1.0,0.0,1.0,1.0,0.2438,2.0,full_model_scoring,logistic_regression
CUST0004144,5857-TYBCJ,active_retention,0,0.7373326488437311,1,high risk,P0 critical,high_value,89.2,3924.8,65.77,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"low engagement, payment risk, valuable customer",0.24,13.38,20.52,7.14,85.68,44,25_48_months,month_to_month,electronic_check,1.0,379.0,inactive_90_plus_days,0.2218,0.4304,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression
CUST0003176,4550-VBOFE,winback_review,1,0.7337958877016788,1,high risk,P0 critical,high_value,102.95,7206.5,75.54,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, valuable customer",0.3,0.0,29.46,29.46,353.52,70,49_plus_months,month_to_month,electronic_check,1.0,35.0,active_31_90_days,0.4488,0.5581,1.0,0.0,0.0,0.0,1.0,0.0692,4.0,full_model_scoring,logistic_regression
CUST0000364,0533-BNWKF,winback_review,1,0.7309533553879598,1,high risk,P0 critical,high_value,85.45,4699.75,62.46,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"payment risk, valuable customer",0.24,12.8175,19.49,6.67,80.04,55,49_plus_months,month_to_month,electronic_check,1.0,2.0,active_0_30_days,0.4962,0.5631,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression
CUST0005024,7056-IMHCC,winback_review,1,0.730078922960785,1,high risk,P0 critical,high_value,101.9,5400.700000000001,74.4,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"low engagement, payment risk, valuable customer",0.24,15.285,23.21,7.93,95.16,53,49_plus_months,month_to_month,electronic_check,1.0,134.0,inactive_90_plus_days,0.3699,0.5084,0.0,0.0,0.0,0.0,0.0,0.0,3.0,holdout_prediction_output,logistic_regression
CUST0000363,0531-ZZJWQ,active_retention,0,0.729207186880541,1,high risk,P0 critical,high_value,74.0,4070.0,53.96,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, valuable customer",0.3,0.0,21.04,21.04,252.48,55,49_plus_months,month_to_month,electronic_check,1.0,29.0,active_0_30_days,0.457,0.5321,1.0,0.0,0.0,0.0,1.0,0.0612,3.0,holdout_prediction_output,logistic_regression
CUST0005888,8276-MQBYC,winback_review,1,0.7287095129206486,1,high risk,P0 critical,high_value,97.8,4987.8,71.27,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, valuable customer",0.3,0.0,27.8,27.8,333.6,51,49_plus_months,month_to_month,electronic_check,1.0,325.0,inactive_90_plus_days,0.2527,0.3442,4.0,3.0,2.0,0.0,1.0,0.4525,4.0,full_model_scoring,logistic_regression
CUST0004732,6661-HBGWL,winback_review,1,0.7243559639970939,1,high risk,P0 critical,high_value,104.75,4399.5,75.88,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, valuable customer",0.3,0.0,29.59,29.59,355.08,42,25_48_months,month_to_month,bank_transfer_automatic,0.55,136.0,inactive_90_plus_days,0.3692,0.5127,1.0,1.0,0.0,0.0,0.0,0.2498,3.0,full_model_scoring,logistic_regression
CUST0002096,3005-NFMTA,winback_review,1,0.7229899549274313,1,high risk,P0 critical,high_value,98.8,5434.0,71.43,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"payment risk, valuable customer",0.24,14.819999999999999,22.29,7.47,89.64,55,49_plus_months,month_to_month,electronic_check,1.0,0.0,active_0_30_days,0.4639,0.5501,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression
CUST0005086,7142-HVGBG,winback_review,1,0.7229607749775615,1,high risk,P0 critical,high_value,103.0,4429.0,74.46,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, valuable customer",0.3,0.0,29.04,29.04,348.48,43,25_48_months,month_to_month,electronic_check,1.0,312.0,inactive_90_plus_days,0.2619,0.3804,1.0,0.0,1.0,0.0,1.0,0.2559,5.0,full_model_scoring,logistic_regression
